Index,Company,Job Description
10,Frontier,"Intro:
Join our team and work directly with the founders to build the future of Automation for the upcoming decentralized web. Enjoy a lot of perks, travel with us to cool events and participate in amazing off-side retreats with the team!
Participate in creating the most sophisticated crypto bot network ever created by designing the smart contracts that will rule them all!
We are a fully remote team and although we hire globally.
What we offer:
A fully remote team with team members in Zug, Paris, New York, Berlin, and many other cool places
Join the “Gelato Legendary Member Club” and work directly with the founders
Participate in building the infrastructure that aims to become the glue between all crypto networks and power the most promising dapps on Ethereum and beyond
Generous Token Package - Get a share of the network’s token and be able to participate in the Gelato DAO
Chance to participate in shaping the future of web3 by working together with the biggest projects in this space, such as MakerDAO, Connext, Quickswap, etc.
Worldclass Investors - We are backed by top class VCs and Angels including Dragonfly, Galaxy Digital, ParaFi, Gnosis, Stani Kulechov and many more!
Requirements:
Experience in writing smart contracts in solidity
Experience with web3 libraries (ethers.js, web3.js) - preferably ethers.js
Experience with testing your code locally and on ethereum test networks
Experience with the hardhat development environment
Experience deploying contracts to production environments like mainnet or polygon
Experience with writing subgraphs for indexing contract data
Experience using dapps like Uniswap, Aave, or Maker.
You can work with high autonomy
Strong written and verbal communication skills
Bonus:
Knowledge about the inner workings of the EVM
Mathematics & Finance Background
Experience in building and running bots that interact with smart contracts on Ethereum
Knowledge about Ethereum Client & Mining software
Front-end experience, building dApps on existing smart contracts
Technologies we use and teach:
Solidity
Node.js
Typescript
Javascript
Ethers.js
Hardhat
React
Frontier focuses on Blockchains. Their company has offices in United Kingdom. They have a small team that's between 11-50 employees.
You can view their website at https://fr0ntierx.com"
11,Parity Technologies,"About Parity
Parity Technologies builds core infrastructure for blockchains and Web 3.0 technologies. This means dealing with P2P networking, consensus algorithms, cryptography, databases, and decentralized applications. We strive to write the fastest, lightest, and safest core technology in Blockchain and write lots of open-source code. 
Parity works in a very flat hierarchy with lots of autonomy and high levels of personal responsibility, and we try to mimic an open-source workflow in much of what we do. We have an older article on our blog about our development practices which you may want to read.
 
About the position:
For this role you will be mostly working on Parity’s ink! ‒ a domain-specific language to write smart contracts in Rust for blockchains built on the Substrate framework. ink! Is an opinionated way of how we think writing smart contracts in Rust should be done. Rust has great support for WebAssembly and we make use of this by compiling ink! smart contracts to WebAssembly.
Besides the developer experience with ink! a number of other hard challenges exist. One of those is that we are constantly optimising our contracts so that they are compiled to as-small-as-possible WebAssembly blobs ‒ this is important for e.g. gas fees and transaction throughput. There is a lot of room for innovation and we’re trying hard to stay ahead of our competition.
Improving performance, integrating XCM, and most importantly, getting WebAssembly smart contracts on par with the Solidity ecosystem are some of the things on our roadmap.
You will be working with the ink! team and have a close collaboration with the people working on Substrate’s contracts module, as well as the Contracts UI ‒ a web application to deploy and interact with smart contracts.
We are a fast moving team, some of us are living in Berlin, but we’re primarily remote. We have regular team retreats in nice locations to discuss technical challenges, do hackathons, and socialise. It’s important to us that we’re all having fun along the way and we’re a humorous bunch.
To us It’s important to us that you’re “hungry” and passionate. We are primarily developers, but besides that we engage with the community, talk to teams building with ink!, answer questions in our StackExchange community, provide and maintain our own documentation and tutorials, as well as giving talks and workshops. That’s something we would like to see from you as well. 
If your prior role was as a Solidity developer or in a Developer Relations role and you’re thinking of doing more Rust ‒ this role might be just the job you have been looking for.
 
Requirements:
Experience with Rust.
Familiarity with the Rust ecosystem.
Knowledge of Bitcoin, Ethereum or other blockchain technologies.
An interest in decentralized technology and Web 3.
Nice to have:
Deep knowledge in one of the following areas is especially appreciated.
Knowledge of Solidity or other smart contract programming languages.
Experience implementing decentralized applications (Dapps), including “Layer 1” and “Layer 2” approaches..
Benefits:
Competitive salaries and benefits.
Opportunity to become an expert in the latest blockchain technologies.
Working at Parity means focusing on stuff that matters: building cutting-edge technology for a better and more decentralized internet. Our teams enjoy a high degree of freedom and autonomy to achieve that goal.
Because we value initiative and learning, we've defined a generous personal improvement budget to attend conferences or skills courses of your own choosing. We think you know what's best for you!
Parity is a diverse company with people from various countries and we will support you with German or English language courses where needed (and desired).
We have a remote-friendly company setup.
Bringing the team together is something we value a lot and we have regular company retreats (or will have, pending the Covid pandemic).
Not a perfect match to our requirements? We're happy to receive your application anyways and hear how you think you can help us achieve our mission.
To see how we use your data please see our Applicant Notice."
12,Gelato Network,"Intro:
Join our team and work directly with the founders to build the future of Automation for the upcoming decentralized web. Enjoy a lot of perks, travel with us to cool events and participate in amazing off-side retreats with the team!
Participate in creating the most sophisticated crypto bot network ever created by designing the smart contracts that will rule them all!
We are a fully remote team and although we hire globally, there is a strong preference for this role to be based in Central Europe.
Watch a short summary
What we offer:
A fully remote team with team members in Zug, Paris, New York, Berlin, and many other cool places
Join the ""Gelato Legendary Member Club"" and work directly with the founders
Participate in building the infrastructure that aims to become the glue between all crypto networks and power the most promising dapps on Ethereum and beyond
Generous Token Package - Get a share of the network's token and be able to participate in the Gelato DAO
Chance to participate in shaping the future of web3 by working together with the biggest projects in this space, such as MakerDAO, Connext, Quickswap, etc.
Worldclass Investors - We are backed by top class VCs and Angels including Dragonfly, Galaxy Digital, ParaFi, Gnosis, Stani Kulechov and many more!
Requirements
Experience in writing smart contracts in solidity
Experience with web3 libraries (ethers.js, web3.js) - preferably ethers.js
Experience with testing your code locally and on ethereum test networks
Experience with the hardhat development environment
Experience deploying contracts to production environments like mainnet or polygon
Experience with writing subgraphs for indexing contract data
Experience using dapps like Uniswap, Aave, or Maker.
You can work with high autonomy
Strong written and verbal communication skills
Bonus:
Knowledge about the inner workings of the EVM
Mathematics & Finance Background
Experience in building and running bots that interact with smart contracts on Ethereum
Knowledge about Ethereum Client & Mining software
Front-end experience, building dApps on existing smart contracts
Technologies we use and teach:
Solidity
Node.js
Typescript
Javascript
Ethers.js
Hardhat
React
Benefits
Unlimited holiday (yes you heard that right!)
Work very autonomously
Generous GEL token package
Competitive Salary
Work together with one of the best technical teams on Ethereum
Build relationships with top blockchain teams which are already Gelato users, including MakerDAO, Instadapp, Zerion, Quickswap and many more
Chance to travel the world to go to exciting events and connect with key players in this industry
Join amazing in-person offsites all over the world
Gelato Network focuses on Blockchain / Cryptocurrency. Their company has offices in Zug and Remote. They have a small team that's between 11-50 employees.
You can view their website at https://gelato.network/ or find them on Twitter."
13,Node Guardians,"Mission
Design and develop quests and missions for intermediate to advanced solidity developers. You possess the mindset and behavior of an engineer.
Collaborate cross-functionally with everyone
Find the right balance between progress (i.e. shipping quickly) and perfection (i.e. measuring twice).
Works at a rapid pace with a large amount of ownership and autonomy
You’ll help us to think about how to create web3 connected, powerful user experiences for our growing community
Your Profile
Ideally, previous production-level smart contract experience
Fast learner
Track record of high quality, well-crafted code that has been used in production environments.
You bring in strong communication skills in English (written and spoken)
Good knowledge of Solidity development patterns and best practice
Experience with smart contract development tools and frameworks
Ability to apply high quality testing standards and good documentation practices
You’ve spent your teenage years on Age of Empires II
Solid understanding of EVM
Good grasp of software engineering principles
Pragmatic and autonomous
You don’t meet all the requirements? Don’t sweat it, we are constantly looking for talent with passion, grit and integrity. You are encouraged to apply even if your experience doesn’t precisely match the job description. Your skills and drive will stand out and set you apart.
If this sounds like an environment you would thrive in, please send your cover letter demonstrating why you would succeed in this role and current CV to us at [email protected]
Node Guardians values your time hence our interview cycle is concise & respectful :)
Node Guardians focuses on Blockchain / Cryptocurrency. Their company has offices in Dubai and Remote. They have a small team that's between 1-10 employees.
You can view their website at https://twitter.com/nodeguardians"
14,Mirana,"Responsibilities Participate in backend projects based on DeFi projects Participate in the innovation and research and development of DeFi projects Participate in research and survey of blockchain forward-looking projects and fields Planning architecture for smart contracts with optimization patterns and data structures for blockchain environment. Developing new and engineering smart contracts for financial protocols on Ethereum blockchain Bachelor's degree in Computer Science, Engineering or similar experience Self-study / research in relevant projects will would be advantageous for this role, minor training & guidance will be provided. Prior experience in blockchain, finance, banking, consultancy or forex trading is an additional advantageous Have research and understanding of basic public chain projects (Ethereum/Solana/Cosmos/Rust) etc. In-depth understanding of Ethereum smart contract solidity and its development framework, truffle, hardhat Familiar with the principles of mainstream DeFi protocols ( uniswap v2/v3/compound/aave ) Good to have backend frameworks ( express, nestjs, typeorm etc. ) skills. Possess good learning ability, communication ability and analytical problem solving ability. What you can expect: Fast-paced, result-oriented environment Exposure to the latest market insights Supportive team and open culture Competitive Remuneration Regular Team Bonding Energetic & Fun Environment Flexi Working Hour Overtime Meal & Transport"
15,Gelato Network,"Intro:
Join our team and work directly with the founders to build the future of Automation for the upcoming decentralized web. Enjoy a lot of perks, travel with us to cool events and participate in amazing off-side retreats with the team!
Participate in creating the most sophisticated crypto bot network ever created by designing the smart contracts that will rule them all!
We are a fully remote team and although we hire globally, there is a strong preference for this role to be based in Central Europe.
Watch a short summary
What we offer:
A fully remote team with team members in Zug, Paris, New York, Berlin, and many other cool places
Join the ""Gelato Legendary Member Club"" and work directly with the founders
Participate in building the infrastructure that aims to become the glue between all crypto networks and power the most promising dapps on Ethereum and beyond
Generous Token Package - Get a share of the network's token and be able to participate in the Gelato DAO
Chance to participate in shaping the future of web3 by working together with the biggest projects in this space, such as MakerDAO, Connext, Quickswap, etc.
Worldclass Investors - We are backed by top class VCs and Angels including Dragonfly, Galaxy Digital, ParaFi, Gnosis, Stani Kulechov and many more!
Requirements
Requirements:
Experience in writing smart contracts in solidity
Experience with web3 libraries (ethers.js, web3.js) - preferably ethers.js
Experience with testing your code locally and on ethereum test networks
Experience with the hardhat development environment
Experience deploying contracts to production environments like mainnet or polygon
Experience with writing subgraphs for indexing contract data
Experience using dapps like Uniswap, Aave, or Maker.
You can work with high autonomy
Strong written and verbal communication skills
Bonus:
Knowledge about the inner workings of the EVM
Mathematics & Finance Background
Experience in building and running bots that interact with smart contracts on Ethereum
Knowledge about Ethereum Client & Mining software
Front-end experience, building dApps on existing smart contracts
Technologies we use and teach:
Solidity
Node.js
Typescript
Javascript
Ethers.js
Hardhat
React
Benefits
Unlimited holiday (yes you heard that right!)
Work very autonomously
Generous GEL token package
Competitive Salary
Work together with one of the best technical teams on Ethereum
Build relationships with top blockchain teams which are already Gelato users, including MakerDAO, Instadapp, Zerion, Quickswap and many more
Chance to travel the world to go to exciting events and connect with key players in this industry
Join amazing in-person offsites all over the world
Gelato Network focuses on Blockchain / Cryptocurrency. Their company has offices in Zug and Remote. They have a small team that's between 11-50 employees.
You can view their website at https://gelato.network/ or find them on Twitter."
16,HEXENS Cyber Security,"Hexens.io is looking for a Smart Contract Auditor to join their team. Hexens.io is a company that provides state-of-the-art cybersecurity services with an essential focus on blockchain. The company solves sophisticated issues for customers with codes containing multimillion assets.
Job responsibilities:
Review smart contracts and analyze security measures
Audit smart contracts following the highest security industry standards
Mentor and educate engineers internally on the security best practices
You are security-minded and aware of the pitfalls of EVM code and vulnerable flows.
Review code (primarily solidity smart contracts) of blockchain projects.
Work to identify vulnerabilities, design and architectural flaws, quality improvement, and ways to mitigate future risk.
Deliver clear and concise reports and “action-items” for developers to quickly mitigate and fix any issues discovered.
Interact with developers, and key stakeholders when identifying and handling security issues.
Other related responsibilities.
Required qualifications (optional):
At least 2 years of work experience in cybersecurity
Experience with JavaScript/TypeScript
Demonstrated expertise with Solidity, EVM and blockchain specifics.
Experience assessing smart contract security risks.
Experience with unit and integration testing.
Experience with hardhat and geth or other development frameworks and local environments.
Fuzzing and formal verification.
Experience developing and building on DeFi protocols and smart contracts is a big plus.
Proactive problem solver.
Benefits:
Possibility to work alongside industry-leading specialists.
Highly competitive salary.
Corporate lunches.
Great work environment.
Relocation package to Yerevan, Armenia.
To apply to this position, please send your CVs to [email protected] including the position title “Smart Contract Auditor” in the subject line.
HEXENS Cyber Security focuses on Cyber Security and Blockchain / Cryptocurrency. Their company has offices in London. They have a small team that's between 11-50 employees.
You can view their website at https://hexens.io"
17,Least Authority TFA GmbH,"We’re looking for a Senior Smart Contracts Security Researcher & Engineer to join our team.  Experience with one or more smart contract languages, including, but not limited to, Solidity, Michelson, Ligo, SmartPy, and Clarity is required, along with familiarity with latest security best practices and knowledge of advancements in related fieldsThis position is to perform security research, analysis and engineering  on smart contract projects for our clients, such as analyzing designs, specifications and codebases, along with documenting findings, providing recommendations, and communicating with consulting clients. We work with a variety of ecosystems, including, but not limited to, Ethereum, Tezos, Stacks, and Cosmos. 
About Least Authority
Least Authority is committed to building and supporting the development of usable technology solutions and ethical business practices to advance digital security and preserve privacy as a fundamental human right.
As part of our business, we provide security consulting services to help others make their solutions more secure. We support teams from the design phase through the production launch and after through a variety of security consulting services.
Additionally, we develop usable products that advance digital security and protect the privacy of users and contribute to various communities to promote the use of secure systems and privacy-protecting technology.

Why join Least Authority?

We are a remote first company,  headquartered in Berlin;
Our team provides flexible working arrangements;
We offer continuous learning  opportunities; 
We operate based on ethical business practices;
We are a mission-driven company;
We value Diversity & Inclusion; and
We can legally employ our team members from remote and support with relocation to Germany.

The responsibilities for this position include:
Conduct research on software and related technology to look for security issues, with a focus on critical vulnerabilities as known through industry best practices;

Analyze technical designs documentation and specifications for potential security issues, vulnerabilities and other flaws;

Perform manual code reviews and investigate for potential security issues in code repositories and codebases, along with related code comments, tests and dependencies;

Analyze and propose potential mitigation and remediation strategies for security issues found;

Communicate with team members specific security issues and general findings found during research activities;

Design new approaches to security issues in code and systems;

Develop potential solutions, including but not limited to producing documentation, code and other helpful artifacts; 

Engineer systems, tools and products, to help with the security of data in transit and at rest, including privacy enhancing technologies; 

Develop preventative approaches to help avoid security issues; 

Actively participate in project report preparation activities;

Provide these research and engineering activities for both consulting engagements and internal projects;

Work cross-functionally to meet project deadlines and goals;

Participate in team efforts, including meetings, to facilitate collaboration towards shared project and Company goals;

Possess and share knowledge as it relates to current security best practices and industry advancements; and 

Anything else as mutually agreed.


The  requirements for this position are the following.

2+ years working with one or more smart contract languages, including, but not limited to, Solidity, Michelson, Ligo, SmartPy, and Clarity; and
Familiarity with and interest in the latest security best practices and knowledge of advancements in related fields. 


The ideal person for this role has some skills in the following areas:

Distributed & decentralized technologies
Smart contract systems and DeFi concepts and applications
Blockchain, cryptocurrency and Web 3.0 systems
Open source software and development practices
Security research and knowledge sharing to advance best practices
Adversarial scenarios, attack vectors and threat modeling
Privacy Enhancing Tech and secure communications tools
A deep understanding of least one smart contract coding language, with a drive to learn additional ones, such as: Solidity, Michaelson, Ligo, SmartPy, Clarity

Least Authority is an equal opportunity employer. We encourage people from all backgrounds to apply. We are committed to ensuring that our technology is made available and accessible to everyone. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law."
18,Village Labs,"Come change the world (for real).
We believe the future of commerce is user-owned. It's a future where suppliers, creators, workers, & freelancers own more of the upside of the value they create & pay less to intermediaries.
Say 👋 to Village. We’re building some of the world's most sophisticated L1 blockchain infra & L2 protocols to create a platform for user-owned commerce that'll shape how people buy and sell goods and services on the internet for years to come.We make it easy for any business or supplier group to build and grow user-owned networks. You can think of user-owned networks as fairer and more efficient marketplace platforms without intermediaries. Instead, they use web3 tech so users can transact directly, grow exponentially, and, actually own the platforms they do business on based on the value they contribute.
This is a big deal! User-ownership will bring about a step-change improvement in efficiency that hasn’t been seen since the early days of the internet.
Our founding team has built SaaS, crypto, eCommerce and marketplace companies, and is backed by some of the world’s top crypto & venture investors.
We need the best builders in the world to come show us what's possible.

About the Role
You will be one of the first five employees at a mission-driven and fast-growing startup. You are ambitious and hard-working, but you (like us!) also believe in putting people first and having a huge amount of fun while you do your job 😁.  
You are a senior engineer with hardcore blockchain development experience, ideally in the Ethereum ecosystem. You also have experience full-stack. You are capable of thought leadership and high-quality code output. You are autonomous and are excited about taking on big, ambiguous problem spaces. You believe in the power of blockchain and Village’s mission to build a user-owned economy, but you also maintain a healthy skepticism of only building web3 for web3’s sake alone. 
You’re more than just your code, though. You love building a culture where people love to work! (❤️) As one of the first five employees, you’ll be integral to the long-term culture of Village and future employees will rely on you as a role model. You’ll be empathetic, hard-working, passionate, good at giving constructive feedback and, of course, having lots of fun.
What you’ll do
Lead Village's Solidity development for our L1 and L2 blockchain solutions
Support the broader team with ideas and contributions across the whole stack
Design and implement scalable smart contracts in Solidity for on-chain user-owned networks
Develop scalable data pipelines
Ensure high production reliability of our applications by proper tests, logging, and alerting
Guide the early Village technical architecture decisions that will resonate throughout the global economy for years to come 🤯 
Manage and mentor junior engineers 
Partner with cross-functional teams, including product, design, and business development to build products and experiences people can’t live without
Establish the Village engineering culture–live the mission and set a standard 
Help the product team craft the team vision, strategy, and roadmap while proposing innovative solutions, as well as understanding technical limitations
Drive key business metrics 
Have an inordinate amount of fun
What you’ll bring
8+ years of development experience across frontend, backend, and Solidity
2+ years advanced experience with Solidity and general smart contract development in the Ethereum ecosystem 
Successful track record of building and shipping innovative products 
Bonus: management, leadership, and hiring experience 
Perks
Unlimited paid time off
Medical, dental, and vision
Early and generous employee stock option & token plan
$100 monthly health and wellness benefit 
401(k) plan
Work from home flexibility
Paid family leave
Apple products
Drop us a line!We encourage you to drop us a line even if you feel over- or under-qualified. We want to find the best people to help us build this Village no matter who they are. We have a lot of different areas of responsibility and we are always happy to brainstorm with you about what would be the best fit. 
Village Labs is an equal opportunity employer. We believe everyone should feel great about being their authentic selves at Village–this is the only way to do our best work! We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We believe that great employees come from diverse backgrounds."
19,Lab Eleven,"Lab Eleven is an Australian-based web3 company. We are building a small, elite team of Solana engineers and looking for exceptional people at all levels to join us. We embrace the open-source community, we don’t shy away from complex problems and we make sure to have fun along the way.
💻 What you will do

Work on exciting web3 and blockchain projects
Design, develop, test and deploy smart contracts and backend services for Solana blockchain
Build secure, performant and scalable infrastructure and applications
Contribute to open-source projects and communities
✅ What we expect

Strong, hands-on development skills; Rust 🦀 and TypeScript are preferred
Details-oriented and problem solver
Self-motivated and productive, with a sense of ownership
Proven passion and knowledge of web3 and blockchain technologies, e.g. Solana, Defi, etc.
Australian resident 🇦🇺
🤩 Perks

Work on the latest blockchain projects here in Australia and globally
Permanent employee position with a competitive salary
Share in the company's success with our profit-sharing scheme
Annual tech allowance for you to spend on your choice of devices and toys
Intensive training and mentoring in blockchain / Solana technologies
Work from anywhere within Australia
🤝 Please Provide

The solution for https://github.com/labeleven-dev/memoApplications that do not have the solution will not be considered

An updated resume / CV
Links to GitHub, Twitter, Linkedin or any other relevant account"
20,BGD Labs,"Smart Contract Engineer in BGD
Remote
Full-time: Mid-Senior level
BGD (Bored Ghosts Developing) is a Web3 and DeFi development initiative, with roots in the Aave protocol ecosystem and currently being one of the main technical contributors there.
You will be working with people that did and is doing awesome things like:
Participated in the creation of the Aave protocol, and all the other systems surrounding it.
Migrating Aave V2 Ethereum to Aave v3 Ethereum
Governance proposals’ verification tooling.
Migration aBPT/stkABPT to Balancer v2.
Rescue of funds locked on Aave ecosystem contracts.
Creating Aave Governance v3.
We are looking for an experienced Smart Contract Engineer to join our team and help build-out and scale one of the main DeFi systems (Aave), together with any other idea that BGD comes up with.
The ideal candidate should have experience with the Ethereum (or any other EVM-based) smart contracts platform, ideally having participated on a production-grade DeFi application on the Solidity side. The ideal candidate is excited to help build a quality foundation, drive key decisions early on, and set up the product for long term success.
Responsibilities and Duties:
Design/implement secure and reliable apps in Solidity.
Writing good documentation and giving development support to a DeFi community.
Internal quality control and audit of smart contracts.
Work with smart contract engineers to design and implement a functional user-friendly experience with Web3 technologies.
Collaborate with frontend, backend, and other smart contract engineers.
Help identify friction points and implement solutions to improve potential bottlenecks in the development process.
Requirements:
1.5+ years of relevant experience as a Smart Contract Developer (Solidity or Vyper).
Passion for the DeFi and Web3 fields.
Knowledge and experience of test-driven development.
Familiar with the common Smart Contract vulnerabilities.
Experience with web3.js or ethers.js, and developing DeFi applications.
Exceptional strategic thinking and creative problem-solving skills with a strong analytical mindset.
A deep understanding of the architecture of modern Web3 applications and backends.
English language fluency.
Able to make informed decisions that require a quick turnaround.
Able to quickly understand and synthesize complex and nuanced technical information into big-picture, actionable insights.
Benefits:
Salary range: €100-150k per year
Remote work and flexible working hours
20 days paid holiday
Front seat into position on working with decentralized financial technologies
Guaranteed innovation-driven work environment
If you are interested in this offer, please send us your CV and a cover letter to [email protected]
BGD Labs focuses on Technology, Blockchains, and Fin Tech. Their company has offices in Dubai and Europe. They have a small team that's between 1-10 employees.
You can view their website at https://bgdlabs.com/"
21,Coinpoker,"Developed by an ambitious team of poker lovers, CoinPoker is a revolutionary blockchain technology-based poker platform that uses stablecoin as the main ingame currency and CHP as bonusing fuel, offering all benefits of the crypto world alongside.  Job Summary:  Coinpoker is seeking an experienced Ethereum Smart Contract Solidity Developer who can architect, design and integrate web3 features and functions into existing desktop and mobile applications. You will work in an Agile development environment and produce robust deliverables on aggressive timelines. To be successful in this role, you should demonstrate passion for blockchain, have strong software engineering and development skills and the ability to communicate well.   Responsibilities:
  
Working with CTO and product team to define new web3 features/functions.
Architecting, designing and implementing smart contracts.
Deploying and testing smart contracts on an Ethereum testnet and deploying production ready contracts on Ethereum mainnet.
Collaborating closely with development team to integrate and test web3 features into existing platform.  
 Job Requirements:  
Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
Experience in integrating smart contracts to an application frontend
Must have experience in Smart Contracts and Solidity
Comprehensive knowledge of other chains is a plus 
Experience in De-Fi primitives including tokens and staking
Fluency in verbal and written English
Prolific ability to adapt to changes
Ability to work within stringent deadlines
  Compensation: Compensation will be very competitive. Paid in USDT/USDC plus vested CHP tokens."
22,Bridge Network,"Our goal at Bridge network is to build a cross-chain super dApp to enable seamless transactions between blockchain ecosystems. The bridge tool kit is made up of 6 main tools; a NFT bridge, a token bridge, a cross-chain trading platform, cross-chain farming platform, a multi-chain explorer and a token wrapper for any existing token to go cross-cain. The goal of building a cross-chain hub is to provide a frictionless and trustless environment for users to transact without the hassle of switching between protocols to complete what should be simple transactions. Bridge Network introduces a unique experience to the multichain world with a scalable, secure and robust infrastructure to simplify the complexities behind moving cross-chain.
Responsibilities:
Establish a clean and efficient development, test, and production environment.
Deliver secure, high quality smart contracts in Solidity.
Write and implement test suites covering the full range of code functionality.
Collaborate with the team to define architecture, quality standards, and best practices.
Diligently document all aspects of open-source contributions.
Create unique solutions to dApp-specific user experience challenges.
Build cutting-edge scalability solutions across all EVM chains.
Requirements
The ideal candidate will have:
2+ years of experience developing in Solidity or in Web3 - you MUST be able to demonstrate this with public repositories or contracts. No other applications will be considered.
A passion for cryptocurrencies and other peer-to-peer technologies.
Benefits:
Attractive base salary
Equity in token allocation
Option to work from the beautifil island of Barbados
Work from anywhere in the world
Work with a diverse culture and likeminded crypto enthusiasts
Bridge Network focuses on Blockchain / Cryptocurrency. Their company has offices in India, Russia, Singapore, United States, and Nigeria. They have a small team that's between 11-50 employees.
You can view their website at https://www.bridgenetwork.info/"
23,Earning.Farm,"We are looking for an ambitious full-stack web3 dApp engineer who have full stack development experience to join our team.
We are looking for:
Passionate about DeFi,
Has full-stack development experience on EVM based project, from User interface to smart contract development, and middleware or database related development.
Serious about system security and always think from an architect's point of view,
Bonus if you also have deep DeFi user experience and insight,
Develop high-quality React applications that are highly reliable and maintainable
Collaborate with designers and other developers to ship products on schedule
Collaborate with internal stakeholders to build dashboards for monitoring key application metrics
Working at Earning.Farm:
Fast moving, challenging unique business problems,
Working with a combination of engineers and experts,
Full time & Remote, high responsibilities,
Contribution to open source and involved in a growing development DAO
Earning.Farm focuses on Blockchain / Cryptocurrency. Their company has offices in Singapore. They have a small team that's between 1-10 employees.
You can view their website at https://earning.farm"
24,NFTBooking,"NFTBooking project is working on developing the first NFT marketplace platform dedicated entirely to tourism where hotels, travel companies, and accommodation owners can sell their services.
Our first goal from now is to release an NFT collection that will grant benefits like stand-alone passive income and platform related, plus utilities like an airport lounge and private concierge for travellers.
About the open positions:
We strongly suggest to have enough capital to cover your expenses for about 45 days. Time needed for releasing the collection and start paying everybody; Benefits listed below.
ROLE NEEDED:
Smart contract developer 40+ hours a week
What do you receive as a Smart contract developer:
Contract
wage TBD
company shares
NFts and whitelists
cashout from collection (paid in real time)
access to trade show and conferences (fly ticket and room paid)
Remote office available (room in Villa in Bali available for free)
BE AWARE
All of this begins from after the first collection sells out.
NFTBooking focuses on Online Travel, Travel & Tourism, and Blockchain / Cryptocurrency. Their company has offices in Canada, Norway, Italy, Panama, and El Salvador. They have a small team that's between 11-50 employees.
You can view their website at https://book.nftbooking.eu/"
25,Chain,"Chain is looking for a Smart Contract Auditor to join our Blockchain Team.
 
Chain is an award-winning technology company that specializes in blockchain related services and software with production ready products in the market.
 
The Security Smart Contract Auditor will review security of the various smart contracts and protocols within the DeFi ecosystem as well as provide insights in establishing best practices for security culture within the industry. This role will contribute to how security is defined when building decentralized software."
26,Autonomous,"About MyConstant
We are a multi-market P2P investment platform headquartered in the US. We offer a range of investment products including crypto-backed lending, consumer and business lending, and exchange financing, to suit every financial goal and risk appetite. We also help crypto-holders unlock the value of their crypto without needing to sell.
As one of the fastest-growing P2P investment platforms in the US, we’ve matched over $35M in loan volume since its launch in 2019. We’ve garnered 250+ five-star Trustpilot reviews and were featured in Forbes, Entrepreneur, and Inc Magazine.
The Job
Our new and upcoming products:
Lending NFT: Myconstant will be a place where users can get a loan on their NFTs and offer loans to borrowers against their NFTs. In other words, users can use their NFTs as collateral to get loans from other users on the decentralized and peer-to-peer system.
NFT Gaming marketplace: where we are aiming to be the single portal/marketplace to sell the most distinguished items from best performing P2E projects. Additionally, the users will have the option to only pay 80% of the price upfront and convert the 20% rest to installments with 0% interest for 30 days.
As long as you're curious about new technologies, always learning and improving yourself, and interested in solving hard problems — Myconstant is your home. You'll have a lot of fun being here and enjoy being part of our teamwork-based culture and family-like atmosphere.
✅ The scope of work includes:
Participate in blockchain development projects (DeFi applications and new NFT project)
Research, develop and maintain the smart contract components of our stack.
Discover, develop and implement best practices in our smart contract design and architecture.
Help build, test, and implement smart contracts.
Participate in the research and development of our new products and cooperate with engineering teams to implement software interfaces and functions.
✅ The ideal candidate would have these experiences and skills:
At least 1-year experience in developing blockchain Dapp, smart contract, Web3.
Prior experience in Solidity or other smart contract programming languages.
Previous experience working with smart contracts and blockchain design paradigms.
Experience using tools for smart contract development such as truffle, metamask, web3js ...
Nice to have:
Experience in Defi project development (preferred)
Familiarity with peer to peer networks is a plus
💯 Team Culture Requirements
Willingness to constantly learn new tools, and technologies.
You must be a fast and thorough learner, capable of systematically inquiring into new technologies and their foundations. Think and rethink, from the ground up.
Able to constantly challenge yourself to stay on top of your game and upgrade yourself every day.
🔥 Benefits
Competitive salary package
Dynamic working environment
Daily light breakfast, healthy lunch & hearty dinner (if any)
Unlimited sick leave, official holidays, and at least 12 paid days off per year
Full medical and dental coverage for you and 50% for your family
Powerful laptop, monitor, standing desk, and any accessories you need to do your best work
Free access to a wide variety of online courses
Autonomous focuses on Enterprise Software, Business Productivity, Office Space, Hardware + Software, and Furniture. Their company has offices in New York City, California, United States, and Ho Chi Minh City. They have a mid-size team that's between 51-200 employees.
You can view their website at http://autonomous.ai or find them on Twitter, Facebook, LinkedIn, and Product Hunt."
